access	n. 接近；通道，入口；接近的机会 vt. 存取
suck	v. 吸， 吮， 啜； 吸收
hair	n. 头发；毛发；毛
clever	adj. 聪明的；机敏的
chimney	n. 烟囱，烟筒
orphan	n. 孤儿
plane	n. 飞机；平面
queen	n. 女王；王后；王后
really	adv. 真正地；实在
meeting	n. 聚集，会合；会见
correct	adj. 正确的 v. 纠正
purse	n. 钱包，小钱袋；手袋
trust	n. 信任 v. 相信；委托
quick	adj. 快的；敏捷的
hunger	n. 饿，饥饿；渴望
fearful	adj. 害怕的， 可怕的； 不安的， 忧虑的
dish	n. 碟，盘子；菜肴
cheque	n. 支票
orchestra	n. 管弦乐队
favourite	adj. 特别受喜爱的 n. 特别受喜爱的人
centre	n. 中心；中枢 v. 集中
lion	n. 狮子；勇猛的人
edition	n. 版， 版本， 版次
hatred	n. 憎恶， 憎恨， 仇恨
poverty	n. 贫穷， 贫困
banner	n. 横幅； 旗， 旗帜
Marxism	n. 马克思主义
drip	vi. 滴下，漏水 n. 水滴； 滴水声
advisable	adj. 明智的， 可取的
mind	n. 头脑；理智；记忆
blow	v. 吹；吹动；吹响
model	n. 模型；模特儿
compass	n. 罗盘， 指南针； 圆规； 界限， 范围
germ	n. 微生物， 细菌； 幼芽
probably	adv. 或许，大概
library	n. 图书馆；藏书
beloved	adj. 为…所爱的 n. 爱人
nephew	n. 侄子， 外甥
aluminium	n. 铝
rarely	adv. 很少， 难得
itself	pron. 它自己；自身
jewish	adj. 犹太人的
journey	vi. 旅行 n. 旅行，旅程
bite	v. 咬；咬，叮，螫；剌穿
bullet	n. 枪弹， 子弹， 弹丸
history	n. 历史；个人经历
list	n. 表，目录 v. 列举
amount	n. 总数；数量；和
number	n. 数，数字；号码
hint	v. 暗示， 示意 n. 暗示，示意；细微的迹象；建议
flash	vi. 闪， 闪烁； 飞驰 n. 闪光；闪光灯
flour	n. 面粉； 粉， 粉状物质
catch	v. 捉住；赶上；领会
purple	n. 紫色 adj. 紫的
feed	v. 喂（养）；吃饲料
league	n. 联合会；同盟，联盟
exert	v. 运用；尽（力）
finding	n. 发现； 调查的结果； 裁决
foreign	adj. 外国的；外来的
shave	v. 剃，刮，刨，削；修面，刮脸 n. 修面， 刮脸
following	adj. 接着的，下列的 n. 一批追随者
steamer	n. 轮船， 汽船
lump	v. 结块； 将…归并在一起 n. 块，肿块
prince	n. 王子；亲王
inward	adv. 向内 adj. 里面的；内心的
prior	adj. 在前的； 优先的
farther	adv. 更远地 adj. 更远的
mist	v. 蒙上薄雾； 模糊 n. 薄雾
coil	n. （一）卷；线圈 v. 卷
spin	v. 旋转；晕眩；纺，织；绞干，甩干 n. 旋转， 自转
noise	n. 喧闹声；响声；噪声
recent	adj. 新近的，最近的
compute	v. 计算，估计，估算
alloy	n. 合金；（金属的）成色
temple	n. 圣堂， 神殿， 庙宇
feast	n. 盛宴；筵席；节日
visual	adj. 看得见的 n. 视觉资料
present	adj. 现在的 n. 目前
simply	adv. 简单地；朴素地
easily	adv. 容易地
suspend	vt. 暂停， 终止； 吊， 悬
workman	n. 工人， 劳动者， 工匠
cotton	n. 棉；棉线；棉布
European	adj. 欧洲的 n. 欧洲人
explain	v. 解释；为…辩解
natural	adj. 自然界的；天然的
rebel	vi. 反叛， 造反； 反对， 不服从 n. 反叛分子， 反对者
bread	n. 面包；食物，粮食
sorrow	n. 悲痛， 悲哀， 悲伤； 伤心事， 不幸的事
cattle	n. 牛； 牲口， 家畜
mushroom	vi. 迅速成长 n. 蘑菇
beautiful	adj. 美的，美丽的
descend	vi. 下来， 下降； 下倾
freedom	n. 自由；自主
lumber	n. 木材；木料；制材
encounter	vt. 遭遇，遇到 n. 遭遇
touch	v. 触摸；触动；感动 n. 触
package	n. 包裹，包装；一揽子交易 vt. 把…打包； 包装
part	n. 一部分；零件
judge	n. 法官；裁判员
compose	vt. 组成， 构成； 创作， 为…谱曲； 使平静， 使镇静
satellite	n. 卫星， 人造卫星
drawing	n. 图画，素描；绘图
hear	v. 听见；听说；审讯
overall	adj. 全面的， 总体的， 全部的
freely	adv. 自由地；直率地
solar	adj. 太阳的， 日光的； 太阳能的
sort	n. 种类；类别 v. 整理
permit	v. 允许 n. 执照
drift	vi. 漂流，漂泊 n. 漂流； 大意， 主旨； 趋势
proper	adj. 适合的；合乎体统的
lame	adj. 跛的；瘸的，残废的
author	n. 著作家， 作者
drain	v. 排去，放水 n. 耗竭； 排水沟， 排水管
sack	n. 麻袋，包；解雇；洗劫，劫掠 vt. 解雇； 洗劫， 劫掠
next	adj. 紧接的；贴近的
grace	n. 优美，优雅；风度，魅力；宽限，缓期 vt. 使优美
preface	n. 序言， 前言， 引言
tone	n. 腔调， 语气； 音调； 风格， 气度； 色调， 明暗
artist	n. 艺术家，美术家
reader	n. 读者；读物，读本
cloud	n. 云；云状物；阴影
busy	adj. 忙的；繁忙的
deadly	adj. 致命的；死一般的
harbour	n. 海港，港口 vt. 庇护； 心怀
bloom	v. 开花 n. 花，开花，开花期；青春焕发
output	n. 产量；输出；输出功率 vt. 输出
railroad	n. 铁路 vt. 由铁路运输
brother	n. 兄弟；同事，同胞
aeroplane	n. 飞机
coffee	n. 咖啡，咖啡茶
editor	n. 编辑， 编者， 校订者
definite	adj. 明确的， 肯定的
skim	v. 撇去， 掠过， 擦过； 浏览， 略读
tourist	n. 旅游者，观光者
flourish	vi. 繁荣，茂盛，兴旺 vt. 挥动
taste	n. 味觉；品味
ending	n. 结尾， 结局； 死亡
nearly	adv. 差不多
away	adv. 离开，远离；…去
lawyer	n. 律师；法学家
publish	vt. 公布， 发表； 出版， 刊印
cubic	adj. 立方形的；立方的
floor	n. 地板；楼层
deceit	n. 欺骗，欺诈
forecast	v. 预测， 预报 n. 预测，预报
believe	v. 相信；认为
occur	vi. 发生， 出现， 存在； 被想起， 被想到
club	n. 〔职业体育的〕俱乐部；俱乐部；夜总会
fierce	adj. 凶猛的； 狂热的
hammer	n. 锤，榔头 v. 锤击
storage	n. 贮藏； 贮藏量
desirable	adj. 值得向往的， 令人满意的
bottom	n. 底，底部，根基
Australia	n. 澳大利亚
choose	v. 选择，挑选；情愿
meanwhile	adv. 同时，当时
nowadays	adv. 现今，现在
fall	v. 落下；跌倒；陷落
heavily	adv. 重重地；大量地
record	n. 记录；履历 v. 记录
harden	v. 变硬； 变得坚强
fable	n. 寓言；虚构的故事
excuse	v. 原谅；免除 n. 借口
cellar	n. 地窑，地下室
noisy	adj. 喧闹的；嘈杂的
rather	adv. 相当；宁可，宁愿
liquid	adj. 液体的； 清澈的； 流畅的 n. 液体
meantime	n. 其时，其间 adv. 当时
portion	n. 一部分，一份 vt. 分配， 把…分给
dinner	n. 正餐，主餐；宴会
African	adj. 非洲的 n. 非洲人
kill	v. 杀死；扼杀；消磨
verify	vt. 证实， 查证， 证明
comb	n. 梳子；鸡冠，冠状物 vt. 梳理； 在…搜寻； 彻底搜查
conquest	n. 攻取， 征服， 克服
bristle	n. 短而硬的毛；鬃毛
bottle	n. 瓶，酒瓶；一瓶
crush	vt. 压碎， 碾碎； 摧毁， 压垮
ourselves	pron. 我们自己
sulphur	n. 硫（磺），硫黄
talent	n. 天才， 才能； 人才
bang	vi. 猛击， 猛撞； 发出砰的一声， 砰砰地响 n. 巨响，枪声；猛击 vt. 猛击，猛撞；砰地敲
January	n. 一月
venture	v. 冒险， 敢于 n. 风险投资，风险项目
input	n. 输入；投入的资金；输入的数据 vt. 把…输入计算机
roar	v. 吼叫，怒号，咆哮；轰鸣；大声喊出，大声表示 n. 呐喊声， 咆哮声， 吼叫声； 轰鸣
monkey	n. 猴子，猿
behalf	n. 代表某人
humble	adj. 谦逊的； 地位低下的； 简陋的
spoil	v. 损坏，糟蹋；宠坏，溺爱；变质 n. 战利品， 掠夺物
packet	n. 小包（裹），小捆
American	adj. 美洲的 n. 美国人
mixture	n. 混合， 混合物
October	n. 十月
pigeon	n. 鸽子
divorce	v. 离婚； 分离， 脱离 n. 离婚，离异
tray	n. 托盘，碟；（浅）盘
stuff	n. 材料，东西 vt. 装， 填， 塞； 让…吃饱
rely	vi. 依靠， 依赖； 信赖， 指望
diameter	n. 直径
dying	adj. 垂死的；临终的
indeed	adv. 确实；真正地
glitter	v. 闪闪发光 n. 闪光
lover	n. 情人；情侣；爱好者
infant	adj. 婴儿的； 幼稚的 n. 婴儿
beast	n. 兽， 野兽， 牲畜； 凶残的人， 令人厌憎的人
alarm	n. 惊恐；忧虑；警报 vt. 使惊恐； 使担心
silent	adj. 寂静无声的；沉默的
dislike	v. 不喜爱，厌恶 n. 不喜爱，厌恶
greatly	adv. 大大地，非常
pity	n. 遗憾；怜悯 v. 同情
panel	n. 专门小组； 面， 板； 控制板， 仪表盘
passage	n. 通路，通道；通过
care	v. 介意；关心 n. 小心
organic	adj. 有机体的， 有机物的
tissue	n. 组织； 薄绢， 薄纸， 手巾纸
income	n. 收入；收益；进款
knot	vi. 打结 n. 结；节疤；节 vt. 把…打成结
stripe	n. 条纹，条子
meter	n. 计量器；计，表
frequent	adj. 时常发生的，常见的 v. 常到， 常去
pure	adj. 纯粹的；纯洁的
penny	n. （英）便士；（美）分
infer	vt. 推论， 推断； 猜想
steam	n. 蒸汽 v. 蒸发；蒸
midnight	n. 午夜，子夜，夜半
cancer	n. 癌， 癌症； 肿瘤
Chinese	adj. 中国的 n. 中国人
method	n. 方法，办法；教学法
monthly	adj. 每月的 adv. 每月
dream	n. 梦；梦想 v. 做梦
load	v. 装；装满 n. 负载
fuel	vi. 加燃料； 加油 n. 燃料，燃料剂 vt. 给…加燃料；刺激
modern	adj. 现代的，近代的
common	adj. 普通的；共同的
produce	v. 产生；生产；展现
castle	n. 城堡；巨大建筑物
supreme	adj. 最高的， 最大的； 极度的， 最重要的
dumb	adj. 哑的； 无言的； 说不出话的
attain	vt. 达到， 获得， 完成
curtain	n. 帘，窗帘；幕（布）
rotten	adj. 腐烂的； 令人不愉快的； 糟糕的
bicycle	n. 自行车，脚踏车
sausage	n. 香肠， 腊肠
attack	n. 攻击，打击；突然发作 vt. 攻击， 进攻
submarine	adj. 水下的 n. 潜水艇
overseas	adv. 在海外 adj. 在海外的
healthy	adj. 健康的；有益健康的
cock	n. 公鸡；雄禽；旋塞
actress	n. 女演员
strap	n. 带子 vt. 捆扎； 用绷带包扎
barrel	n. 桶； 圆筒； 枪管
partly	adv. 部分地，不完全地
injury	n. 损害， 伤害； 受伤处
hopeless	adj. 没有希望的， 绝望的
escape	v. 逃跑；逸出 n. 逃跑
thrive	vi. 兴旺， 繁荣， 旺盛
fireman	n. 消防队员； 司炉工
awfully	adv. 令人畏惧的；很
golden	adj. 金色的；极好的
carrot	n. 胡萝卜
concerning	prep. 关于
many	det.. 许多的 pron. 许多人
goal	n. 目的；球门；得分
inner	adj. 内部的； 内心的
bear	n. 熊；粗鲁的人
pretty	adj. 漂亮的，标致的
therefore	adv. 因此， 所以
goose	n. 鹅；雌鹅
dairy	adj. 乳制品的 n. 牛奶场；乳制品
boundary	n. 分界线， 边界
afterward	adv. 后来， 以后
spite	3、释义:n. 不顾；恶意，怨恨 v. 刁难，欺侮
saucer	n. 茶托， 碟子
observer	n. 观察员， 观察者
hero	n. 英雄；勇士；男主角
happen	vi. 发生； 碰巧， 恰好
chemistry	n. 化学
shot	n. 发射；弹丸；射门
reason	n. 理由；理性 v. 推理
cross	v. 穿过；使交叉
sour	adj. 酸的；馊的，酸味的；脾气坏的 v. 变酸， 变馊； 变得乖戾
canvas	n. 粗帆布；一块油画布
medical	adj. 医学的；内科的
could	modal. 能，会，可以（can的过去式）
oppress	v. 压迫，压制；压抑
rough	adj. 表面不平的；粗略的
other	adj. 另外的；其余的
heal	vi. 愈合， 痊愈， 恢复健康 vt. 使愈合，治愈，使康复；调停，消除
court	n. 法院， 法庭； 庭院； 宫廷； 球场
ball	n. 球；球状物；舞会
remain	vi. 剩下，余留；保持；仍然是 n. 残余； 残骸； 遗迹
chart	n. 图表；航海图 vt. 用图表表示， 在图上表示
dock	n. 船坞；码头
breast	n. 乳房； 胸脯， 胸膛
join	v. 参加；连接
poor	adj. 贫穷的；贫乏的
delete	vt. 删除， 擦掉
digest	vt. 消化； 领会 n. 文摘； 摘要
great	adj. 大的；伟大的
urge	vt. 鼓励；推进，催促；竭力主张，强烈要求 n. 冲动， 强烈的欲望
ought	modal. 应当，应该
real	adj. 真的；现实的
score	v. 得， 给…打分； 画线于， 做记号于； 赢得 n. 得分，比数，成绩；二十
devise	vt. 设计， 发明
luck	n. 好运，幸运；运气
office	n. 办公室；处，局，社
sore	adj. 痛的；恼火的；急剧的，剧烈的 n. 疮， 痛处
Japanese	adj. 日本的 n. 日本人
fulfil	vt. 履行， 实现， 完成； 满足， 使满意
chicken	n. 鸡；鸡肉
limited	adj. 有限的
kilometre	n. 千米，公里
campus	n. 校园， 学校场地
blanket	n. 毛毯， 毯子， 羊毛毯
market	n. 市场； 股市； 行情， 销路
afraid	adj. 害怕的；担心的
cinema	n. 电影院；电影，影片
stiff	adv. 极其， 非常； 僵硬地 adj. 硬的，僵直的；不灵活的；拘谨的，生硬的；费劲的；强烈的
librarian	n. 图书馆管理员
hostile	adj. 敌方的； 不友善的
prove	v. 证实， 证明； 结果是
oven	n. 炉，灶；烘箱
bury	v. 埋葬，葬；埋藏
arrow	n. 箭；箭状物；〔指示方向的〕箭号，箭头（符号）
press	v. 压，按；按，揿；催促
funeral	n. 葬礼， 丧礼， 丧葬
compile	v. 编辑，编制，搜集
fluent	adj. 流利的， 流畅的
trade	n. 贸易；职业 v. 交易
digital	adj. 数字的， 数位的
gradually	adv. 逐渐地，逐步地
also	adv. 而且，还；亦，也
subway	n. 地道；地下铁路
seek	v. 寻找，探索；试图
bounce	v. 弹起，反弹；颠簸 n. 弹， 反弹
miracle	n. 奇迹， 令人惊奇的人
clothe	v. 给…穿衣服
jury	n. 陪审团； 评奖团
east	n. 东；东部 adv. 在东方
popular	adj. 流行的；民众的
resume	vt. 重新开始， 继续， 恢复 n. 摘要， 概要； 简历
eyesight	n. 视力， 目力
canal	n. 运河， 沟渠； 管
obviously	adv. 明显地，显然地
please	v. 使高兴，请满意
breeze	vi. 飘然而行 n. 微风，和风
percent	adj. 百分之…
grocer	n. 食品商， 杂货商
arise	vi. 出现； 由…引起； 起身， 起床
name	n. 名字；名誉 v. 说出
prefer	v. 更喜欢
flood	v. 淹没； 涌入 n. 洪水；大量
genius	n. 天才， 天赋， 天资； 天才人物
nerve	n. 神经； 勇敢， 胆量
northern	adj. 北方的，北部的
painter	n. 画家，绘画者；漆工
burst	vi. 爆裂，爆炸；挤满；突然打开；突然发作 vt. 使爆炸；突然打开 n. 爆炸
closely	adv. 紧密地；接近地
church	n. 教堂，礼拜堂；教会
chase	v. 追逐， 追赶； 追求
note	n. 笔记；便条；注释
attract	v. 吸引；引起……的兴趣；诱惑
axis	n. 轴，轴线；中心线
officer	n. 官员；干事；军官
loose	adj. 松的； 不精确的， 不严密的； 散漫的
former	adj. 在前的 n. 前者
truth	n. 事实；真理；真实性
edge	n. 边缘，边；刀口
kettle	n. 水壶；锅
gaze	n&vi. 凝视， 盯， 注视
foolish	adj. 愚蠢的；鲁莽的
found	v. 创立，创办；建立
whisper	v. 低声地讲 n. 低语， 耳语
gather	v. 聚集；集合；收集
captive	n. 俘虏，被监禁的人
colonel	n. 陆军上校；中校
hateful	adj. 可恨的，可恶的
routine	adj. 例行的， 常规的 n. 例行公事，惯例，惯常的程序
mess	n. 凌乱状态，混乱的局面；困境 vt. 弄糟， 弄脏， 搞乱
blank	adj. 空白的；茫然的，无表情的 n. 空白； 空白表格
chalk	n. 白垩；粉笔
midday	n. 正午，中午
despise	v. 鄙视，蔑视
humour	n. 幽默， 诙谐， 幽默感
roller	n. 滚筒，滚轴；滚柱
needle	n. 针；编织针
torch	n. 火炬， 火把； 手电筒
bubble	vi. 冒泡； 沸腾 n. 泡
finger	n. 手指；指状物
charming	adj. 迷人的，可爱的
endless	adj. 无止境的
peasant	n. 农民
heel	n. 脚后跟，踵；中文释义: 后跟
base	n. 基础，底层；基地
myself	pron. 我自己；我亲自
draft	n. 草稿；汇票；征兵；通风 vt. 起草； 征募
paint	v. （给…）上油漆；画，绘画
okay	convention. 对，好
police	n. 警察；警察当局
forth	adv. 向前； 向外， 往外
cheese	n. 奶酪，干酪
sleeve	n. 袖子， 袖套
donkey	n. 驴； 笨蛋
vacant	adj. 空的， 未被占用的； 空缺的； 茫然的， 空虚的
expense	n. 花费， 消费； 费用， 开支； 业务费用
bare	adj. 赤裸的；光秃的，无遮盖的；刚刚够的，勉强的 vt. 露出， 显露
athlete	n. 运动员；田径运动员
regarding	prep. 关于
commonly	adv. 普通地，一般地
magic	adj. 有魔力的； 魔术的 n. 魔法，魅力
cook	v. 烹调，煮；烧菜
powder	n. 粉末；药粉；火药
filter	v. 过滤，透；走漏 n. 滤纸， 过滤嘴
deal	n. 买卖；待遇
collect	v. 收集；收款
bond	v. 黏合， 结合 n. 联结，联系；公债；契约，合同
jail	n. 监狱，看守所 vt. 监禁， 拘留； 塞满； 卡住； 干扰
mercy	n. 仁慈， 宽容； 恩惠； 幸运
pour	v. 灌， 倒； 倾泻
mention	v. 提及，说起 n. 提及，说起
decide	v. 决定，决心；解决
football	n. 足球
careful	adj. 仔细的；细致的
nowhere	adv. 任何地方都不
sign	n. 符号；招牌 v. 签名
hide	v. 把…藏起来；隐瞒
daylight	n. 白昼， 日光， 黎明
crust	n. 面包皮， 硬外皮； 外壳， 地壳
outlet	n. 出口， 出路； 发泄途径
subtract	vt. 减， 减去， 去掉
Italian	adj. 意大利的 n. 意大利人
drunk	adj. 醉的； 陶醉的
magazine	n. 杂志，期刊
slope	n. 倾斜；斜面 v. 倾斜
develop	v. 发展；形成；开发
rabbit	n. 兔子
outset	n. 开始， 开端
brisk	adj. 活泼的；清新的
keyboard	n. 键盘
onion	n. 洋葱； 洋葱类植物
energy	n. 活力；精力；能；能量
shriek	v. 尖声喊叫 n. 尖叫声
horse	n. 马；马科动物
deed	n. 行为；功绩；劣迹；契约
isolate	vt. 使隔离， 使孤立
shortly	adv. 立刻， 不久； 不耐烦地； 简短地
retire	vi. 退休， 退役； 退下， 退出， 撤退； 就寝
betray	v. 背叛；辜负；泄漏
August	n. 八月
brief	adj. 简短的，短暂的 vt. 向…介绍基本情况，做…的提要 n. 概要， 摘要
marble	n. 大理石
born	adj. 天生的；出生的
destroy	v. 破坏；消灭；打破
heating	n. 加热，供暖
wholly	adv. 完全地， 全部地
split	v. 分裂，分离；被撕裂，裂开；分担，分享 n. 裂口
basin	n. 洗脸盆；盆；盆地
sweater	n. 厚运动衫，毛线衫
shear	v. 剪；剥夺
greet	v. 问候，招呼；反应
basically	adv. 基本上， 从根本上说
despair	n. 绝望 v. 绝望，感到无望
morning	n. 早晨，上午
mild	adj. 温柔的； 温暖的； 轻微的
period	n. 时期；学时；句号
enforce	vt. 实施， 执行； 强制， 强迫， 迫使
grow	v. 增长；生长
federal	adj. 联邦的， 联盟的
lively	adj. 活泼的
account	vi. 说明原因； 占 n. 记述；解释；账目
gramme	n. gram的英式拼法
beef	n. 牛肉；菜牛
heap	n. （一）堆；大量
merely	adv. 仅仅， 只不过
besides	adv. 而且 prep. 除…之外
park	n. 公园；停车场
nineteen	num. 十九，十九个
depress	vt. 使沮丧； 使不景气； 削弱， 抑制
crack	vi. 爆裂； 噼啪地响； 打， 击 n. 裂缝，裂纹；破裂声
hurt	v. 使受伤；使痛心
hillside	n. （小山）山腰，山坡
cabbage	n. 洋白菜， 卷心菜
date	n. 日期 v. 注…日期
warmth	n. 暖和， 温暖； 热烈， 热情， 热心
latter	adj. 后者的； 后一半的
indoors	adv. 在室内，在屋里
command	vt. 命令， 指挥， 控制
academy	n. 研究会， 学会； 专门学校
report	v. 报告；汇报
magnet	n. 磁铁， 磁体； 有吸引力的人或事物
large	adj. 大的；巨大的
thorough	adj. 彻底的， 详尽的
nearby	adj. 附近的 adv. 在附近
vinegar	n. 醋
article	n. 文章；物品；条款
angle	n. 角， 角度； 观点， 立场
rail	vi. 责骂， 抱怨 n. 栏杆，横杆；铁轨，轨道；铁路
elephant	n. 象
hasten	v. 催促；赶紧
mutter	v. 轻声低语；抱怨
musical	adj. 音乐的
anything	pron. 任何事物；一切
outskirt	n. 外边，郊区
index	n. 索引； 指数， 指标
likely	adv. 可能 adj. 可能的；适合的
cushion	n. 垫子， 坐垫， 靠垫
flock	n. 羊群， 群； 大量
scatter	v. 撒， 散播； 散开， 驱散
brake	v. 制动； 刹住， 用闸使放慢速度 n. 闸，刹车
brain	n. 脑，脑髓；脑力
commander	n. 司令官， 指挥员
limb	n. 肢， 臂， 腿； 树枝
highway	n. 公路， 大路
quite	adv. 完全；相当；的确
analyse	vt. 分析； 分解； 解析
flight	n. 航班；飞行；逃跑
inform	vi. 告发， 告密 vt. 通知；报告
flat	adv. 平直地； 直截了当地 adj. 平的；固定的；漏气的；平淡的；沉闷的；浅的 n. 一套房间，单元住宅
married	adj. 已婚的； 婚姻的
kitchen	n. 厨房，灶间
bridge	n. 桥，桥梁；桥牌
fault	n. 缺点；过失；故障
driver	n. 驾驶员，司机
airport	n. 机场， 航空港
unlike	adj. 不同的 prep. 不象…
fresh	adj. 新的；新鲜的
extra	adv. 特别地 adj. 额外的；特别的 n. 额外的事物， 额外费用
drill	v. 钻， 打； 训练 n. 钻头；操练，训练
accessary	n. 同谋，从犯
dwelling	n. 住处，寓所
hardly	adv. 几乎不，简直不
dance	v. 跳舞；摇晃 n. 舞
atomic	adj. 原子的， 原子能的， 原子武器的
omit	v. 省略，省去；遗漏
lady	n. 女士，夫人；贵妇人
announcer	n. 播音员
formula	n. 公式， 方程式； 原则， 方案； 配方
law	n. 法律；法令；法则
utmost	adj. 最大的 n. 极限
rush	v. 冲，奔；催促
grieve	v. 悲痛；使悲痛
gymnasium	n. 体育馆， 健身房
brim	n. 边，边缘；帽沿
lovely	adj. 可爱的；令人愉快的
uniform	adj. 一样的 n. 制服
promise	n. 诺言 v. 允诺
bend	v. 使弯曲；弯曲
moon	n. 月球，月亮；卫星
tale	n. 故事；传说
accent	n. 口音， 腔调； 重音
brandy	n. 白兰地酒
meaning	n. 意义， 意思； 目的； 重要性
hill	n. 小山，山岗；丘陵
tense	adj. 拉紧的；紧张的 v. 拉紧， 绷紧 n. 时态
tend	vi. 照管， 照料， 护理 vt. 易于，往往会；趋向，倾向
brand	n. 品牌；烙印 vt. 铭刻， 打烙印于； 加污名于， 谴责
shed	vt. 脱落，脱去；流出，流下；发出，散发 n. 棚， 小屋， 货棚
America	n. 美洲；美国
camera	n. 照相机，摄影机
unity	n. 单一， 统一， 团结； 和睦， 协调
trial	n. 试， 试验； 审判； 讨厌的人
beggar	n. 乞丐 vt. 使贫穷
colony	n. 殖民地； 侨居地， 聚居地； 群体， 集群
funny	adj. 滑稽的；古怪的
circuit	n. 电路， 线路； 环行， 巡行
button	n. 扣子；按钮 v. 扣紧
classical	adj. 古典的， 经典的
Friday	n. 星期五
product	n. 产品；产物；（乘）积
ridge	n. 脊， 山脊； 垄， 埂， 脊状突起
bucket	n. 水桶， 吊桶； 铲斗
exceed	vt. 超过， 胜过， 超出
wrist	n. 腕， 腕关节
hence	adv. 因此，所以；今后；今后
profit	vi. 受益 n. 益处；利润，收益 vt. 有益于，有利于
cable	n. 缆， 索， 电缆； 电报
rear	adj. 后部的，背后的 n. 后部，背面；后方 vt. 抚养， 饲养； 种植
birth	n. 分娩，出生；出身
pardon	n. 原谅；赦免 v. 原谅
phrase	n. 短语；习惯用语
jewel	n. 宝石； 宝石饰物
wander	vi. 漫游， 闲逛， 漫步； 偏离正道； 走神， 恍惚
picture	n. 画，图片 v. 画
cabin	n. 小屋； 船舱， 机舱
minute	n. 分，分钟；一会儿
minus	adj. 负面的；使显得有缺陷的 prep. 减（去）
hungry	adj. 饥饿的；渴望的
odd	adj. 奇特的； 临时的； 奇数的； 单只的； 剩余的， 挂零的
traffic	n. 交通，通行；交通量
carbon	n. 碳
senate	n. 参议院， 上院
physician	n. 医生，内科医生
pace	vi. 踱步 n. 步，步速；速度；节奏
harness	v. 控制[利用]〔自然力等〕 n. 马具，挽具
license	n. 许可，执照 vt. 准许
little	adj. 小的；少；幼小的
Africa	n. 非洲
county	n. 英国的郡，美国的县
globe	n. 地球， 世界； 地球仪； 球体
machine	n. 机器；机械
bore	vt. 使厌烦；钻，挖 n. 令人讨厌的人
radius	n. 半径
fist	n. 拳（头）
mosquito	n. 蚊子
plus	adj. 表示加的；正的 prep. 加，加上 n. 加号， 正号
policeman	n. 警察
Christmas	n. 圣诞节
farewell	int. 再会 n. 告别
later	adv. 后来；过一会儿
fashion	n. 样子， 方式； 时尚； 流行款式
farmer	n. 农民，农夫；农场主
upright	adv. 挺直着， 竖立着 adj. 垂直的；正直的，诚实的
honour	n. 光荣；尊敬，敬意
stocking	n. 长（筒）袜
faculty	n. 才能， 能力； 系， 科； 全体教员
undo	vt. 解开， 打开； 取消， 撤销
liver	n. 肝；肝脏
offer	v. 提供；提出 n. 提供
holiday	n. 假期；假日，节日
glass	n. 玻璃；玻璃杯
wave	n. 波；波涛 v. 波动，挥动，摆动
dawn	n. 黎明；开端 v. 破晓
postage	n. 邮费， 邮资
cheer	v. 使振作；欢呼
pass	v. 经过；通过；度过
anywhere	adv. 在什么地方
affect	vt. 影响； 感动
every	det. 每一的；每隔…的
baggage	n. 行李
nurse	n. 护士；保姆 v. 看护
toilet	n. 厕所，盥洗室，浴室
goods	n. 货物；商品
career	n. 生涯， 职业， 经历
museum	n. 博物馆；展览馆
diamond	n. 金钢石，钻石；菱形
chest	n. 胸腔， 胸膛； 箱子
bowl	n. 碗，钵；碗状物
somewhat	adv. 有点儿 pron. 一点儿
liberal	adj. 心胸宽大的， 慷慨的； 自由的， 自由主义的
molecule	n. 分子，克分子
general	adj. 总的；一般的 n. 将军
gentle	adj. 和蔼的；轻柔的
however	adv. 然而；不管怎样
float	v. 浮动， 漂浮； 飘动
adjust	vt. 调整， 调节， 校正
drama	n. 戏剧， 剧本； 戏剧性事件
volcano	n. 火山
proud	adj. 骄傲的；自负的〔含贬义〕；自豪的
gently	adv. 有礼貌地；柔和地
curl	n. 卷毛；螺旋 v. 卷曲
flavour	n. 味，味道；风味
loud	adj. 响亮的；吵闹的
manner	n. 方式； 态度； 风度； 礼貌， 规矩
discard	vt. 丢弃， 抛弃， 遗弃
change	n. 改变，变化；零钱
probable	adj. 很可能的， 大概的
central	adj. 中心的；主要的
voyage	n. 航海，航空 v. 航海，航行
provide	v. 提供；装备，供给
empty	adj. 空的；空洞的
heat	n. 热；炎热 v. 变热
Canadian	adj. 加拿大的
beam	n. 梁，横梁；束，柱；笑容，喜色 vt. 面露喜色； 定向发出， 播送
cause	n. 原因；理由；事业
exclaim	vi. 呼喊， 惊叫
breed	v. 繁殖； 养育， 培育； 酿成， 产生 n. 品种
keeper	n. 饲养员；看护人
hell	n. 地狱； 极大的痛苦
compress	vt. 压紧， 压缩
sound	adj. 健康的；完好的
recall	v. 回忆； 召回， 叫回； 收回， 撤销
most	det,pron. 最多的 adv. 最，很
nature	n. 大自然； 本性； 性质
hold	v. 拿住；掌握；拥有
like	v. 喜欢；喜爱；希望
treat	v. 对待；处理 n. 款待
footstep	n. 脚步， 脚步声， 足迹
himself	pron. 他自己；他亲自
cure	v. 医治；消除 n. 治愈
treaty	n. 条约， 协议， 协定
butterfly	n. 蝴蝶
insert	vt. 插入， 嵌入； 登载
phase	n. 阶段； 方面； 相， 相位
cloth	n. 布；衣料；桌布
marry	v. 娶， 嫁； 为…证婚； 结婚， 结合
beat	v. 打，敲；打败
swing	v. 摇摆，回转；突然转向 n. 摇摆； 秋千
